Statistical profiling result from isolate-0x138008000-24751-v8.log, (3160 ticks, 14 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     78    2.5%          /usr/lib/system/libsystem_malloc.dylib
     22    0.7%          /usr/lib/system/libsystem_pthread.dylib
     15    0.5%          /usr/lib/system/libsystem_c.dylib
     10    0.3%          /usr/lib/libc++.1.dylib
      8    0.3%          /usr/lib/system/libsystem_platform.dylib
      5    0.2%          /usr/lib/system/libdyld.dylib
      3    0.1%          /usr/lib/system/libsystem_kernel.dylib
      1    0.0%          /usr/lib/libobjc.A.dylib
      1    0.0%          /usr/lib/libc++abi.dylib

 [JavaScript]:
   ticks  total  nonlib   name
     14    0.4%    0.5%  LazyCompile: *Readable.read node:internal/streams/readable:394:35
     11    0.3%    0.4%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
     10    0.3%    0.3%  LazyCompile: *Readable node:internal/streams/readable:181:18
      9    0.3%    0.3%  LazyCompile: *clearBuffer node:internal/streams/writable:529:21
      8    0.3%    0.3%  LazyCompile: *write_ node:_http_outgoing:730:16
      8    0.3%    0.3%  LazyCompile: *resolvePath /Users/tornado/code/node/nodejs-study/node_modules/resolve-path/index.js:45:22
      8    0.3%    0.3%  LazyCompile: *resolve node:path:1091:10
      6    0.2%    0.2%  LazyCompile: *socketOnDrain node:_http_server:559:23
      6    0.2%    0.2%  LazyCompile: *readableAddChunk node:internal/streams/readable:236:26
      6    0.2%    0.2%  LazyCompile: *nextTick node:internal/process/task_queues:104:18
      5    0.2%    0.2%  LazyCompile: *send /Users/tornado/code/node/nodejs-study/node_modules/koa-send/index.js:50:21
      5    0.2%    0.2%  LazyCompile: *removeListener node:events:687:28
      5    0.2%    0.2%  LazyCompile: *normalize node:path:1127:12
      5    0.2%    0.2%  LazyCompile: *join node:path:1166:7
      5    0.2%    0.2%  LazyCompile: *emitReadable_ node:internal/streams/readable:574:23
      5    0.2%    0.2%  LazyCompile: *Readable.on node:internal/streams/readable:875:33
